member_id,name,party,gender,reelected,electoral_district,latest_age
T2T8225E,강경숙,조국혁신당,여,초선,비례대표,22
L2I9861C,강대식,국민의힘,남,재선,대구 동구군위군을,22
8P37634C,강득구,더불어민주당,남,재선,경기 안양시만안구,22
9901388T,강명구,국민의힘,남,초선,경북 구미시을,22
GX22581L,강민국,국민의힘,남,재선,경남 진주시을,22
NQO7187X,강선영,국민의힘,여,초선,비례대표,22
MNZ4401T,강선우,더불어민주당,여,재선,서울 강서구갑,22
42K7317Y,강승규,국민의힘,남,재선,충남 홍성군예산군,22
Q129715Y,강유정,더불어민주당,여,초선,비례대표,22
5KV96424,강준현,더불어민주당,남,재선,세종특별자치시을,22
TRE2429O,강훈식,더불어민주당,남,3선,충남 아산시을,22
HS39431V,고동진,국민의힘,남,초선,서울 강남구병,22
WCD5518S,고민정,더불어민주당,여,재선,서울 광진구을,22
REG96285,곽규택,국민의힘,남,초선,부산 서구동구,22
FIE6569O,곽상언,더불어민주당,남,초선,서울 종로구,22
7469929V,구자근,국민의힘,남,재선,경북 구미시갑,22
GDG1847Z,권성동,국민의힘,남,5선,강원 강릉시,22
LG63087O,권영세,국민의힘,남,5선,서울 용산구,22
LYY5513O,권영진,국민의힘,남,재선,대구 달서구병,22
C7E79345,권칠승,더불어민주당,남,3선,경기 화성시병,22
EFU76868,권향엽,더불어민주당,여,초선,전남 순천시광양시곡성군구례군을,22
TQP7167T,김건,국민의힘,남,초선,비례대표,22
X1K3667J,김교흥,더불어민주당,남,3선,인천 서구갑,22
HE08888N,김기웅,국민의힘,남,초선,대구 중구남구,22
3CC88975,김기표,더불어민주당,남,초선,경기 부천시을,22
X7I4680R,김기현,국민의힘,남,5선,울산 남구을,22
IUX1829H,김남근,더불어민주당,남,초선,서울 성북구을,22
NXB3178C,김남희,더불어민주당,여,초선,경기 광명시을,22
ANS8383S,김대식,국민의힘,남,초선,부산 사상구,22
LH97552Q,김도읍,국민의힘,남,4선,부산 강서구,22
MIS62075,김동아,더불어민주당,남,초선,서울 서대문구갑,22
86R9476S,김문수,더불어민주당,남,초선,전남 순천시광양시곡성군구례군갑,22
3BC6890E,김미애,국민의힘,여,재선,부산 해운대구을,22
MLH1404S,김민석,더불어민주당,남,4선,서울 영등포구을,22
TCP9838Y,김민전,국민의힘,여,초선,비례대표,22
8Q88373R,김병기,더불어민주당,남,3선,서울 동작구갑,22
GF286398,김병주,더불어민주당,남,재선,경기 남양주시을,22
VDN5593C,김상욱,국민의힘,남,초선,울산 남구갑,22
1Y73132H,김상훈,국민의힘,남,4선,대구 서구,22
ZYP7962W,김석기,국민의힘,남,3선,경북 경주시,22
JNL7001A,김선교,국민의힘,남,재선,경기 여주시양평군,22
7GW5372Y,김선민,조국혁신당,여,초선,비례대표,22
9D939735,김성원,국민의힘,남,3선,경기 동두천시양주시연천구을,22
XSP20229,김성환,더불어민주당,남,3선,서울 노원구을,22
88O1334C,김성회,더불어민주당,남,초선,경기 고양시갑,22
1SR94244,김소희,국민의힘,여,초선,비례대표,22
5K93695T,김승수,국민의힘,남,재선,대구 북구을,22
ATB59635,김승원,더불어민주당,남,재선,경기 수원시갑,22
B7D7534L,김영배,더불어민주당,남,재선,서울 성북구갑,22
5765663F,김영진,더불어민주당,남,3선,경기 수원시병,22
7BM2933Y,김영호,더불어민주당,남,3선,서울 서대문구을,22
8O34202I,김영환,더불어민주당,남,초선,경기 고양시정,22
CNZ51556,김예지,국민의힘,여,재선,비례대표,22
NB64509Z,김용만,더불어민주당,남,초선,경기 하남시을,22
OFE45081,김용민,더불어민주당,남,재선,경기 남양주시병,22
EPI69383,김용태,국민의힘,남,초선,경기 포천시가평군,22
3UI95829,김우영,더불어민주당,남,초선,서울 은평구을,22
4L695580,김원이,더불어민주당,남,재선,전남 목포시,22
LCZ1711I,김위상,국민의힘,남,초선,비례대표,22
5N65159P,김윤,더불어민주당,남,초선,비례대표,22
JZY9937U,김윤덕,더불어민주당,남,3선,전북 전주시갑,22
L5P27909,김은혜,국민의힘,여,재선,경기 성남시분당구을,22
X7E7893P,김장겸,국민의힘,남,초선,비례대표,22
