의원ID,의원명,신고연도,신고월,자산구분,관계,종류,상세내역,종전가액,증가액,감소액,현재가액,변동사유
YN160848,백선희,2025,3,건물,본인,아파트,경기도 고양시 일산동구 마두동 백마마을2단지아파트 건물 132.80㎡ 중 66.40㎡,269000,0,0,269000,
YN160848,백선희,2025,3,건물,배우자,아파트,경기도 고양시 일산동구 마두동 백마마을2단지아파트 건물 132.80㎡ 중 66.40㎡,269000,0,0,269000,
YN160848,백선희,2025,3,건물,모,아파트,경기도 고양시 덕양구 화정동 달빛마을3단지아파트 건물 84.95㎡,256000,0,0,256000,
YN160848,백선희,2025,3,건물,차남,오피스텔 (전세(임차)권),서울특별시 동대문구 이문동 리원하우스 건물 28.36㎡,2500,0,0,2500,
YN160848,백선희,2025,3,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2017년식 QM6 배기량(1,995cc)",11070,0,0,11070,
YN160848,백선희,2025,3,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2013년식 자기인증면제차량 제네시스 배기량(3,778cc)",127,0,0,127,
YN160848,백선희,2025,3,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,배우자,자동차,"2013년식 자기인증면제차량 제네시스 배기량(3,778cc)",12642,0,0,12642,
YN160848,백선희,2025,3,예금,본인,,(주)KB손해보험,24149,0,0,24149,
YN160848,백선희,2025,3,예금,본인,,(주)KEB하나은행,3771,0,0,3771,
YN160848,백선희,2025,3,예금,본인,,국민은행,86977,0,0,86977,
YN160848,백선희,2025,3,예금,본인,,삼성생명보험,10494,0,0,10494,
YN160848,백선희,2025,3,예금,본인,,삼성화재해상보험,64603,0,0,64603,
YN160848,백선희,2025,3,예금,본인,,신한라이프생명보험,105248,0,0,105248,
YN160848,백선희,2025,3,예금,본인,,신한은행,3051,0,0,3051,
YN160848,백선희,2025,3,예금,본인,,주식회사 카카오뱅크,151,0,0,151,
YN160848,백선희,2025,3,예금,본인,,한국교직원공제회,101699,0,0,101699,
YN160848,백선희,2025,3,예금,본인,,한국투자증권,33243,0,0,33243,
YN160848,백선희,2025,3,예금,본인,,한화손해보험,7621,0,0,7621,
YN160848,백선희,2025,3,예금,본인,,현대해상화재보험,141552,0,0,141552,
YN160848,백선희,2025,3,예금,본인,,흥국화재해상보험(주),5993,0,0,5993,
YN160848,백선희,2025,3,예금,배우자,,국민은행,118611,0,0,118611,
YN160848,백선희,2025,3,예금,배우자,,삼성화재해상보험,11881,0,0,11881,
YN160848,백선희,2025,3,예금,배우자,,스탠다드차타드은행,363,0,0,363,
YN160848,백선희,2025,3,예금,배우자,,신한라이프생명보험,52320,0,0,52320,
YN160848,백선희,2025,3,예금,배우자,,우체국,1,0,0,1,
YN160848,백선희,2025,3,예금,배우자,,한국교직원공제회,193832,0,0,193832,
YN160848,백선희,2025,3,예금,배우자,,한화생명보험주식회사,32750,0,0,32750,
YN160848,백선희,2025,3,예금,배우자,,한화손해보험,8371,0,0,8371,
YN160848,백선희,2025,3,예금,모,,(주)KB손해보험,7657,0,0,7657,
YN160848,백선희,2025,3,예금,모,,국민은행,8690,0,0,8690,
YN160848,백선희,2025,3,예금,모,,농협중앙회,32,0,0,32,
YN160848,백선희,2025,3,예금,모,,새마을금고중앙회,12,0,0,12,
YN160848,백선희,2025,3,예금,모,,신한은행,1,0,0,1,
YN160848,백선희,2025,3,예금,모,,우체국,2,0,0,2,
YN160848,백선희,2025,3,예금,장남,,(주)KEB하나은행,9,0,0,9,
YN160848,백선희,2025,3,예금,장남,,국민은행,55691,0,0,55691,
YN160848,백선희,2025,3,예금,장남,,농협생명보험,18000,0,0,18000,
YN160848,백선희,2025,3,예금,장남,,신한은행,3600,0,0,3600,
YN160848,백선희,2025,3,예금,장남,,우리은행,14,0,0,14,
YN160848,백선희,2025,3,예금,장남,,한화손해보험,1570,0,0,1570,
YN160848,백선희,2025,3,예금,차남,,국민은행,2700,0,0,2700,
YN160848,백선희,2025,3,예금,차남,,농협생명보험,9160,0,0,9160,
YN160848,백선희,2025,3,예금,차남,,빗썸,10,0,0,10,
YN160848,백선희,2025,3,예금,차남,,우리은행,3,0,0,3,
YN160848,백선희,2025,3,예금,차남,,한화손해 보험,1554,0,0,1554,
YN160848,백선희,2025,3,채무,배우자,금융채무,국민은행,285,0,0,285,
YN160848,백선희,2025,3,채무,차남,금융채무,국민은행,11243,0,0,11243,
YN160848,백선희,2025,3,채무,차남,금융채무,농협생명보험,2090,0,0,2090,
YN160848,백선희,2025,3,채무,차남,금융채무,아이엠뱅크,1356,0,0,1356,
YN160848,백선희,2025,3,채무,차남,금융채무,우리카드,403,0,0,403,
YN160848,백선희,2025,3,회원권,배우자,콘도미니엄,리솜포레스트 (제천),39960,0,0,39960,
YN160848,백선희,2025,3,가상자산,차남,,"리플 0.00000096개, 테더 0.00000077개",0,0,0,0,
T2T8225E,강경숙,2024,8,건물,본인,복합건물(주택+상가),서울특별시 은평구 녹번동 대지 136.00㎡ 중 21.76㎡ 건물 318.66㎡ 중 50.98㎡,139524,0,0,139524,
T2T8225E,강경숙,2024,8,건물,본인,아파트(전세(임차)권),서울특별시 은평구 응암동 녹번역e편한세상캐슬 건물 84.97㎡,535000,0,0,535000,
T2T8225E,강경숙,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2008년식 sm 배기량(1,596cc)",1700,0,0,1700,
T2T8225E,강경숙,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2016년식 쏘나타 배기량(1,999cc)",6330,0,0,6330,
T2T8225E,강경숙,2024,8,예금,본인,,(주)KB손해보험,27530,0,0,27530,
T2T8225E,강경숙,2024,8,예금,본인,,(주)KEB하나은행,1,0,0,1,
T2T8225E,강경숙,2024,8,예금,본인,,(주)카카오페이증권,216,0,0,216,
T2T8225E,강경숙,2024,8,예금,본인,,국민은행,959,0,0,959,
T2T8225E,강경숙,2024,8,예금,본인,,농협은행,17,0,0,17,
T2T8225E,강경숙,2024,8,예금,본인,,새마을금고중앙회,3443,0,0,3443,
T2T8225E,강경숙,2024,8,예금,본인,,에이비엘생명보험,6528,0,0,6528,
T2T8225E,강경숙,2024,8,예금,본인,,한국교직원공제회,117453,0,0,117453,
T2T8225E,강경숙,2024,8,예금,본인,,한화생명보험주식회사,9620,0,0,9620,
T2T8225E,강경숙,2024,8,예금,본인,,한화손해보험,39602,0,0,39602,
T2T8225E,강경숙,2024,8,예금,배우자,,(주)KB손해보험,11918,0,0,11918,
T2T8225E,강경숙,2024,8,예금,배우자,,DB금융투자,76107,0,0,76107,
T2T8225E,강경숙,2024,8,예금,배우자,,DB손해보험(주),718,0,0,718,
T2T8225E,강경숙,2024,8,예금,배우자,,농협은행,6000,0,0,6000,
T2T8225E,강경숙,2024,8,예금,배우자,,미래에셋증권,1169,0,0,1169,
T2T8225E,강경숙,2024,8,예금,배우자,,삼성생명보험,21463,0,0,21463,
T2T8225E,강경숙,2024,8,예금,배우자,,상호저축은행중앙회,50000,0,0,50000,
T2T8225E,강경숙,2024,8,예금,배우자,,새마을금고중앙회,9835,0,0,9835,
T2T8225E,강경숙,2024,8,예금,배우자,,신한은행,247,0,0,247,
T2T8225E,강경숙,2024,8,예금,배우자,,한국투자증권,141250,0,0,141250,
T2T8225E,강경숙,2024,8,증권,본인,비상장주식,"주식회사 엠디헬스케어 1,000주, 주식회사 한국교육평가진흥원 4,500주",5000,0,0,5000,
T2T8225E,강경숙,2024,8,증권,배우자,상장주식,"리비안오토모티브 25주, 엔비디아 0.005242주, 주성코퍼레이션 531주",2552,0,0,2552,
T2T8225E,강경숙,2024,8,증권,배우자,국채,국고01500-5003(20-2) 0주,14336,0,0,14336,
T2T8225E,강경숙,2024,8,증권,배우자,회사채,푸본현대생명보험14(후) 0주,73493,0,0,73493,
T2T8225E,강경숙,2024,8,증권,배우자,기타(채권),마인드스탠스20240415-91-1(단) 0주,400000,0,0,400000,
T2T8225E,강경숙,2024,8,채권,본인,,사인간채권,550000,0,0,550000,
T2T8225E,강경숙,2024,8,채무,본인,금융채무,신한은행,4926,0,0,4926,
NQO7187X,강선영,2024,8,건물,본인,아파트,서울특별시 서대문구 홍제동 홍제원현대아파트 건물 84.90㎡,585000,0,0,585000,
NQO7187X,강선영,2024,8,건물,본인,아파트,경기도 고양시 일산동구 장항동 호수마을2단지아파트 건물 70.14㎡,398000,0,0,398000,
NQO7187X,강선영,2024,8,건물,본인,아파트(전세(임차)권),서울특별시 마포구 대흥동 대흥동태영아파트 건물 59.40㎡,100000,0,0,100000,
NQO7187X,강선영,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2010년식 k5 배기량(1,993cc)",2420,0,0,2420,
NQO7187X,강선영,2024,8,예금,본인,,MG손해보험(주),8096,0,0,8096,
NQO7187X,강선영,2024,8,예금,본인,,국민은행,1263,0,0,1263,
NQO7187X,강선영,2024,8,예금,본인,,군인공제회,253094,0,0,253094,
NQO7187X,강선영,2024,8,예금,본인,,농협은행,415,0,0,415,
NQO7187X,강선영,2024,8,예금,본인,,동양생명보험,2011,0,0,2011,
NQO7187X,강선영,2024,8,예금,본인,,메리츠화재해상보험(보험),2233,0,0,2233,
NQO7187X,강선영,2024,8,예금,본인,,삼성생명보험,3384,0,0,3384,
NQO7187X,강선영,2024,8,예금,본인,,스탠다드차타드은행,18,0,0,18,
NQO7187X,강선영,2024,8,예금,본인,,신한라이프생명보험,8992,0,0,8992,
NQO7187X,강선영,2024,8,예금,본인,,주식회사 카카오뱅크,339,0,0,339,
NQO7187X,강선영,2024,8,예금,본인,,중소기업은행,19,0,0,19,
NQO7187X,강선영,2024,8,예금,부,,농협중앙회,46,0,0,46,
NQO7187X,강선영,2024,8,예금,부,,신한은행,802,0,0,802,
NQO7187X,강선영,2024,8,채권,본인,,사인간채권,560000,0,0,560000,
NQO7187X,강선영,2024,8,채무,본인,금융채무,SC제일은행,244728,0,0,244728,
NQO7187X,강선영,2024,8,채무,본인,건물임대채무,서울특별시 서대문구 홍제동 홍제원현대아파트 임대보증금,300000,0,0,300000,
NQO7187X,강선영,2024,8,채무,본인,건물임대채무,경기도 고양시 일산동구 장항동 호수마을 2단지아파트 임대보증금,390000,0,0,390000,
Q129715Y,강유정,2024,8,건물,본인,아파트,경기도 용인시 기흥구 언남동 하마비마을동일하이빌2차 건물 139.25㎡,337000,0,0,337000,
Q129715Y,강유정,2024,8,건물,배우자,아파트,서울특별시 서초구 반포동 2-12 아크로리버파크 건물 112.93㎡,3557000,0,0,3557000,
Q129715Y,강유정,2024,8,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,본인,자동차,"2023년식 카이엔 COUPE(5인승) 배기량(2,995cc)",124280,0,0,124280,
Q129715Y,강유정,2024,8,예금,본인,,AIA생명보험주식회사,19843,0,0,19843,
Q129715Y,강유정,2024,8,예금,본인,,DB생명보험(주),7038,0,0,7038,
Q129715Y,강유정,2024,8,예금,본인,,국민은행,33091,0,0,33091,
Q129715Y,강유정,2024,8,예금,본인,,라이나생명보험,6462,0,0,6462,
Q129715Y,강유정,2024,8,예금,본인,,메리츠화재해상보험(보험),5127,0,0,5127,
Q129715Y,강유정,2024,8,예금,본인,,삼성생명보험,10553,0,0,10553,
Q129715Y,강유정,2024,8,예금,본인,,케이디비생명보험,34500,0,0,34500,
Q129715Y,강유정,2024,8,예금,본인,,토스뱅크(주),300,0,0,300,
Q129715Y,강유정,2024,8,예금,본인,,한국교직원공제회,80096,0,0,80096,
Q129715Y,강유정,2024,8,예금,본인,,한화투자증권,476,0,0,476,
Q129715Y,강유정,2024,8,예금,본인,,현대해상화재보험,935,0,0,935,
Q129715Y,강유정,2024,8,예금,본인,,흥국화재해상보험(주),12414,0,0,12414,
Q129715Y,강유정,2024,8,예금,배우자,,(주)KEB하나은행,104605,0,0,104605,
Q129715Y,강유정,2024,8,예금,배우자,,국민은행,5210,0,0,5210,
Q129715Y,강유정,2024,8,예금,배우자,,농협중앙회,6274,0,0,6274,
Q129715Y,강유정,2024,8,예금,배우자,,메리츠화재해상보험(보험),2218,0,0,2218,
Q129715Y,강유정,2024,8,예금,배우자,,삼성생명보험,18998,0,0,18998,
Q129715Y,강유정,2024,8,예금,배우자,,삼성화재해상보험,7507,0,0,7507,
Q129715Y,강유정,2024,8,예금,배우자,,씨티은행,73,0,0,73,
Q129715Y,강유정,2024,8,예금,배우자,,주식회사 카카오뱅크,6758,0,0,6758,
Q129715Y,강유정,2024,8,예금,배우자,,현대해상화재보험,940,0,0,940,
Q129715Y,강유정,2024,8,예금,배우자,,흥국화재해상보험(주),16364,0,0,16364,
