api_member_id,api_date,api_type,api_kind,api_relation,api_detail,api_current_valuation,api_origin_valuation,api_increased_amount,api_decreased_amount,api_reason_change
QB390802,201803,유가증권,상장주식,본인,"웹젠 9,435,000주",368436750,141053250,227383500,0,평가액 변동 등
QB390802,201608,유가증권,상장주식,본인,"웹젠 9,435,000주",204267750,,,,
QB390802,201903,유가증권,상장주식,본인,"웹젠 6,000,000주(6,000,000주 증가), 웹젠 3,435,000주 (6,000,000주 감소)",200965500,368436750,127800000,295271250,액면 분할 및 평가액 변동 등
QB390802,202003,유가증권,상장주식,본인,"웹젠 3,435,000주, 웹젠 6,000,000주",153790500,200965500,,47175000,주식가치 하락
YOG1280B,201603,유가증권,상장주식,본인,"주식회사안랩 1,860,000주",151032000,66960000,84072000,0,주가변동 및 회사채 매입 등
QB390802,201703,유가증권,상장주식,본인,"웹젠 9,435,000주",141053250,204267750,0,63214500,일부 매각 및 주가변동
2WQ6656P,201603,유가증권,상장주식,본인,"DRB동일 8,571,560주(251,925주 증가), 동일고무벨트
1,885,692주(61,851주 증가)",132730003,122238078,10491925,0,"평가액변동, 주식배당"
2WQ6656P,201703,유가증권,상장주식,본인,"DRB동일 8,818,545주(246,985주 증가), 동일고무벨트
1,935,957주(50,265주 증가)",132334108,132730003,1268199,1664094,"평가액변동, 주식배당,주식매각"
YOG1280B,202403,증권,상장주식,본인,"안랩 1,860,000주",128154000,124062000,4092000,0,자금운용 및 가액변동
YOG1280B,202303,증권,상장주식,본인,"안랩 1,860,000주",124062000,193440000,0,69378000,가액변동 및 신규상품 구입
YOG1280B,201703,유가증권,상장주식,본인,"주식회사안랩 0주(1,860,000주 감소), 안랩 1,860,000주(1,860,000주 증가)",107508000,151032000,107508000,151032000,"회사채매도로 1,100,000천원
감소함.
금융기관명 변경으로 안랩주식 1,860,000주 감소 및 증가로 표현됨.
주식가격 하락으로 주식가액이
43,524,000천원 감소."
DPZ7685X,202203, 증권,비상장주식,본인,"주식회사 동수토건 58,300주, 주식회사 이진주택10,000주",91860163,85873136,5987027,0,평가액 변동
2WQ6656P,201803,유가증권,상장주식,본인,"DRB동일 9,060,590주(242,045주 증가), 동일고무벨트
1,994,335주(58,378주 증가)",87789160,132334108,0,44544948,"평가액변동, 주식배당"
DPZ7685X,202103,증권,비상장주식,본인,"주식회사 이진주택 10,000주, 주식회사 동수토건 58,300주",85873136,85873136,0,0,변동없음
DPZ7685X,202008,증권,비상장주식,본인,"주식회사 이진주택 10,000주, 주식회사 동수토건 58,300주",85873136,,,,
2WQ6656P,201903,유가증권,상장주식,본인,"DRB동일 9,297,720주(237,130주 증가), 동일고무벨트 2,051,141주(56,806주 증가)",73976764,87789160,0,13812396,"평가액변동, 주식배당, 증권매입"
2WQ6656P,202003,유가증권,상장주식,본인,"DRB동일 9,520,007주(222,287주 증가), 동일고무벨트
 2,106,364주(55,223주 증가)",61681301,73976764,,12295463,"평가액 변동, 주식배당"
MSY7784L,202203, 증권,비상장주식,배우자,"KIPM 0주(10,500주 감소), 농업회사법인 삼경축산(주) 90,000주, 대선건설 479,897주, 주식회사 푸르밀126,000주",47354495,24056461,26443855,3145821,
QB390802,201803,예금,,본인,"미래에셋생명보험 15,098(5,769 증가), 미래에셋대우(주) 10, 신한은행 2,072(1,572 증가), 삼성증권
36,590,096(30,189,818 증가), 농협은행 2,457(8,892 감소), 씨티은행 9,908,423(9,856,950 증가), (주)KEB하나은행 497,
한국카카오은행(주) 770(770 증가), 교보생명보험
63,166(3,933 증가), 교보증권 4, 삼성화재해상보험 572(191 증가)",46583165,6533054,40108102,57991,과세금 환급 등
DPZ7685X,202303,증권,비상장주식,본인,"주식회사 동수토건 0주(58,300주 감소), 주식회사이진주택 10,000주",44361920,91860163,8836930,56335173,평가액 변동 및 주식백지신탁
QB390802,202003,예금,,본인,"교보생명보험 64,530(2,570 감소), 교보증권 0(4 감소), 농협은행 3,529(1,117 증가), 미래에셋대우(주) 1,378,138(474,134 증가), 미래에셋생명보험 26,806(5,877
 증가), 삼성증권 40,699,747(3,867,487 증가), 삼성화재해 상보험 954(191 증가), 신용협동조합중앙회 10,008(10,008 증가), 씨티은행 1,757,819(2,246,983 감소), 한국카카오
 은행(주) 2,001(2,001 증가)",43943532,41832274,9379513,7268255,투자상품 가치변동
QB390802,201903,예금,,본인,"미래에셋생명보험 20,929(5,831 증가), 미래에셋대우(주) 904,004(903,994 증가), 신한은행 0(2,072 감소), 삼성증권 36,832,260(242,164 증가), 농협은행 2,412(45 감소), 씨티은행 4,004,802(5,903,621 감소), (주)KEB하나은행 0(497 감소), 한국카카오은행(주) 0(770 감소), 교보생명보험 67,100(3,934 증가), 교보증권 4, 삼성화재해상보험 763(191 증가)",41832274,46583165,3156843,7907734,회사채 매입 등
4019850M,202303,건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡건물 19,816.49㎡",40218438,37751190,2467248,0,가액 변동
4019850M,202203, 건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡건물 19,816.49㎡",37751190,35611507,2139683,0,가액변동
4019850M,202403,건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡건물 19,816.49㎡",37186391,40218438,0,3032047,가액 변동
4019850M,202103,건물,빌딩,본인,"서울특별시 마포구 상암동  트루텍빌딩 대지 2,077.90㎡ 건물 19,816.49㎡",35611507,33674646,1936861,0,가액변동
4019850M,202003,건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡
 건물 19,816.49㎡",33674646,33495002,179644,,가액변동
4019850M,201903,건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡ 건물 19,816.49㎡",33495002,32541098,953904,0,가액변동
UB114374,202008,증권,비상장주식,본인,"주식회사 디젠 398,235주, 주식회사 효림에이치에프 84,000주, 효림산업주식회사 86,400주, 효림정공주식회사 140,000주",32730521,,,,
4019850M,201803,건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡ 건물
19,816.49㎡",32541098,30795897,1745201,0,가액변동
4019850M,201608,건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡ 건물
19,816.49㎡",32120426,,,,
4019850M,201703,건물,빌딩,본인,"서울특별시 마포구 상암동 트루텍빌딩 대지 2,077.90㎡ 건물
19,816.49㎡",30795897,32120426,0,1324529,건물가액 변동
DPZ7685X,202403,증권,비상장주식,본인,"주식회사 이진주택 10,000주",28298230,44361920,0,16063690,평가액 변동
DPZ7685X,202408,증권,비상장주식,본인,"주식회사 이진주택 10,000주",28298230,,,,
MSY7784L,202103,증권,비상장주식,배우자,"주식회사 푸르밀 126,000주(126,000주 증가), 푸르밀 0 주(126,000주 감소), 농업회사법인 삼경축산(주) 90,000주(90,000주 증가), 삼경축산 0주(90,000주 감소), 대선건설 479,897주, KIPM 10,500주",24056461,5931470,24056461,5931470,
MSY7784L,202303,증권,비상장주식,배우자,"농업회사법인 삼경축산(주) 90,000주, 대선건설479,897주, 주식회사 푸르밀 126,000주",21421749,47354495,91350,26024096,"비상장주식 평가액 하락, 상장주식 신규 매수"
QB390802,201608,유가증권,상장주식,배우자,"카카오 186,661주",19188750,,,,
