자산ID(OpenWatch),의원명,의원ID,신고연도,신고월,자산구분,종류,관계,상세내역,현재가액,변동사유,종전가액,증가액,감소액
95537,강경숙,T2T8225E,2024,8,,,,,1700.0,,,,
93313,강경숙,T2T8225E,2024,8,,,,,2552.0,,,,
93318,강경숙,T2T8225E,2024,8,,,,,4926.0,,,,
93312,강경숙,T2T8225E,2024,8,,,,,5000.0,,,,
95169,강경숙,T2T8225E,2024,8,,,,,6330.0,,,,
93314,강경숙,T2T8225E,2024,8,,,,,14336.0,,,,
93311,강경숙,T2T8225E,2024,8,,,,,26408.0,,,,
93315,강경숙,T2T8225E,2024,8,,,,,73493.0,,,,
93305,강경숙,T2T8225E,2024,8,,,,,139524.0,,,,
93309,강경숙,T2T8225E,2024,8,,,,,205369.0,,,,
93310,강경숙,T2T8225E,2024,8,,,,,318707.0,,,,
93306,강경숙,T2T8225E,2024,8,,,,,535000.0,,,,
96075,강기윤,14M56632,2024,8,,,,,652.0,,,,
96076,강기윤,14M56632,2024,8,,,,,816.0,,,,
96078,강기윤,14M56632,2024,8,,,,,2255.0,,,,
96077,강기윤,14M56632,2024,8,,,,,2540.0,,,,
96067,강기윤,14M56632,2024,8,,,,,8857.0,,,,
96084,강기윤,14M56632,2024,8,,,,,15127.0,,,,
96083,강기윤,14M56632,2024,8,,,,,17525.0,,,,
96068,강기윤,14M56632,2024,8,,,,,18918.0,,,,
96087,강기윤,14M56632,2024,8,,,,,20000.0,,,,
96064,강기윤,14M56632,2024,8,,,,,43549.0,,,,
96080,강기윤,14M56632,2024,8,,,,,56790.0,,,,
96088,강기윤,14M56632,2024,8,,,,,60000.0,,,,
96069,강기윤,14M56632,2024,8,,,,,60720.0,,,,
96079,강기윤,14M56632,2024,8,,,,,65300.0,,,,
96066,강기윤,14M56632,2024,8,,,,,80387.0,,,,
96070,강기윤,14M56632,2024,8,,,,,96738.0,,,,
96072,강기윤,14M56632,2024,8,,,,,135541.0,,,,
96063,강기윤,14M56632,2024,8,,,,,363045.0,,,,
96071,강기윤,14M56632,2024,8,,,,,486000.0,,,,
96065,강기윤,14M56632,2024,8,,,,,494963.0,,,,
96082,강기윤,14M56632,2024,8,,,,,830978.0,,,,
96085,강기윤,14M56632,2024,8,,,,,950000.0,,,,
96086,강기윤,14M56632,2024,8,,,,,1400000.0,,,,
96073,강기윤,14M56632,2024,8,,,,,2142760.0,,,,
96081,강기윤,14M56632,2024,8,,,,,4241590.0,,,,
95767,강명구,9901388T,2024,8,,,,,0.0,,,,
95766,강명구,9901388T,2024,8,,,,,0.0,,,,
95762,강명구,9901388T,2024,8,,,,,0.0,,,,
95751,강명구,9901388T,2024,8,,,,,0.0,,,,
95748,강명구,9901388T,2024,8,,,,,267.0,,,,
95923,강명구,9901388T,2024,8,,,,,406.0,,,,
95757,강명구,9901388T,2024,8,,,,,3020.0,,,,
95758,강명구,9901388T,2024,8,,,,,4390.0,,,,
95759,강명구,9901388T,2024,8,,,,,4718.0,,,,
95761,강명구,9901388T,2024,8,,,,,12578.0,,,,
95829,강명구,9901388T,2024,8,,,,,12820.0,,,,
95749,강명구,9901388T,2024,8,,,,,20000.0,,,,
95750,강명구,9901388T,2024,8,,,,,23050.0,,,,
95764,강명구,9901388T,2024,8,,,,,50000.0,,,,
95760,강명구,9901388T,2024,8,,,,,53415.0,,,,
95756,강명구,9901388T,2024,8,,,,,63911.0,,,,
95763,강명구,9901388T,2024,8,,,,,91992.0,,,,
95755,강명구,9901388T,2024,8,,,,,121824.0,,,,
95765,강명구,9901388T,2024,8,,,,,290000.0,,,,
95752,강명구,9901388T,2024,8,,,,,474000.0,,,,
96100,강민정,P2N50879,2024,8,,,,,0.0,,,,
96099,강민정,P2N50879,2024,8,,,,,0.0,,,,
96095,강민정,P2N50879,2024,8,,,,,158.0,,,,
96097,강민정,P2N50879,2024,8,,,,,344.0,,,,
96092,강민정,P2N50879,2024,8,,,,,950.0,,,,
96089,강민정,P2N50879,2024,8,,,,,12341.0,,,,
96098,강민정,P2N50879,2024,8,,,,,26400.0,,,,
96096,강민정,P2N50879,2024,8,,,,,52601.0,,,,
96094,강민정,P2N50879,2024,8,,,,,76670.0,,,,
96091,강민정,P2N50879,2024,8,,,,,439000.0,,,,
96090,강민정,P2N50879,2024,8,,,,,479000.0,,,,
96093,강민정,P2N50879,2024,8,,,,,507243.0,,,,
96107,강병원,60490713,2024,8,,,,,4290.0,,,,
96104,강병원,60490713,2024,8,,,,,8540.0,,,,
96110,강병원,60490713,2024,8,,,,,10000.0,,,,
96109,강병원,60490713,2024,8,,,,,26690.0,,,,
96101,강병원,60490713,2024,8,,,,,30000.0,,,,
96108,강병원,60490713,2024,8,,,,,45284.0,,,,
96106,강병원,60490713,2024,8,,,,,109702.0,,,,
